id_paper,id_publisher
"MILLINGTON B, 2015, J AGING STUD, V35, P160, DOI 10.1016/J.JAGING.2015.08.005",ELSEVIER SCIENCE INC
"MAGUIRE M, 2015, J MASS COMMUN Q, V92, P1020, DOI 10.1177/1077699015610327Q",SAGE PUBLICATIONS INC
"VANWYNSBERGHE H, 2015, J LIBR INF SCI, V47, P283, DOI 10.1177/0961000613520027",SAGE PUBLICATIONS LTD
"LARCOM M, 2015, GERONTOLOGIST, V55, P213",OXFORD UNIV PRESS INC
"WEEDON A, 2015, CONVERGENCE-US, V21, P405, DOI 10.1177/1354856515601656",SAGE PUBLICATIONS INC
"MOSES AM, 2015, EARLY CHILD EDUC J, V43, P485, DOI 10.1007/S10643-015-0690-9",SPRINGER
"PARK S, 2015, YOUTH SOC, V47, P829, DOI 10.1177/0044118X14561008",SAGE PUBLICATIONS INC
"LIN TB, 2015, ASIA PAC J EDUC, V35, P423, DOI 10.1080/02188791.2013.860012",ROUTLEDGE JOURNALS
"LIN TB, 2015, ASIA PAC J EDUC, V35, P423, DOI 10.1080/02188791.2013.860012", TAYLOR & FRANCIS LTD
"FRIAS-GUZMAN M, 2015, PERSPECT CIENC INF, V20, P15, DOI 10.1590/1981-5344/2393",UNIV FEDERAL MINAS GERAIS
"FRIAS-GUZMAN M, 2015, PERSPECT CIENC INF, V20, P15, DOI 10.1590/1981-5344/2393", ESCOLA BIBLIOTECONOMIA
"ARISTIZABAL P, 2015, REV INVESTIG EDUC, V13, P243",DIPUTACION PROVINCIAL PONTEVEDRA
"PARTRIDGE RS, 2015, INT J BUS COMMUN, V52, P479, DOI 10.1177/2329488415598431",SAGE PUBLICATIONS INC
"BROCK M, 2015, J LANG LIT EDUC, V11, P197",UNIV GEORGIA
"BROCK M, 2015, J LANG LIT EDUC, V11, P197", COLL EDUCATION
"PROKHOROV A, 2015, J FILM VIDEO, V67, P112",UNIV ILLINOIS PRESS
"GUERRERO-PICO M, 2015, PALABRA CLAVE, V18, P722, DOI 10.5294/PACLA.2015.18.3.5",UNIV SABANA
"GUERRERO-PICO M, 2015, PALABRA CLAVE, V18, P722, DOI 10.5294/PACLA.2015.18.3.5", FAC COMUNICACION
"DAVIS S, 2015, REV COMUN MIDIATICA, V10, P11",UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO
"DAVIS S, 2015, REV COMUN MIDIATICA, V10, P11",  FAC ARQUITETURA ARTES &;   COMUN
"DALTON RW, 2015, RELIG EDUC, V110, P395, DOI 10.1080/00344087.2015.1063963",TAYLOR & FRANCIS INC
"CARR PR, 2015, CRIT EDUC, V6, P1",UNIV BRITISH COLUMBIA
"CARR PR, 2015, CRIT EDUC, V6, P1", FAC EDUCATION
"GORDON CS, 2015, HEALTH EDUC RES, V30, P682, DOI 10.1093/HER/CYV027",OXFORD UNIV PRESS
"AUSTIN EW, 2015, MASS COMMUN SOC, V18, P399, DOI 10.1080/15205436.2014.1001909",ROUTLEDGE JOURNALS
"AUSTIN EW, 2015, MASS COMMUN SOC, V18, P399, DOI 10.1080/15205436.2014.1001909", TAYLOR & FRANCIS LTD
"VRAGA EK, 2015, MASS COMMUN SOC, V18, P422, DOI 10.1080/15205436.2014.1001910",ROUTLEDGE JOURNALS
"VRAGA EK, 2015, MASS COMMUN SOC, V18, P422, DOI 10.1080/15205436.2014.1001910", TAYLOR & FRANCIS LTD
"AGUADED I, 2015, RIED-REV IBEROAM EDU, V18, P275, DOI 10.5944/RIED.18.2.13407",ASOC IBEROAMERICANA EDUCACION SUPERIOR DISTANCIA
"LEE L, 2015, COMPUT EDUC, V85, P84, DOI 10.1016/J.COMPEDU.2015.02.006",PERGAMON-ELSEVIER SCIENCE LTD
"MANDROLA J, 2015, J AM COLL CARDIOL, V65, P2461",ELSEVIER SCIENCE INC
"CALDEIRO-PEDREIRA MC, 2015, REV DIGIT INVEST DOC, V9, P37",UNIV PERUANA CIENCIAS APLICADAS
"KARPATI A, 2015, INT J EDUC ART, V11, P330",INTELLECT LTD
"HINDMARSH CS, 2015, HEALTH EDUC RES, V30, P449, DOI 10.1093/HER/CYV015",OXFORD UNIV PRESS
"DEZUANNI M, 2015, J CURRICULUM STUD, V47, P416, DOI 10.1080/00220272.2014.966152",ROUTLEDGE JOURNALS
"DEZUANNI M, 2015, J CURRICULUM STUD, V47, P416, DOI 10.1080/00220272.2014.966152", TAYLOR & FRANCIS LTD
"RIBEIRO PESSOA MT, 2015, PROFESORADO, V19, P75",UNIV GRANADA
"RIBEIRO PESSOA MT, 2015, PROFESORADO, V19, P75", GRUPO INVESTIGACION FORCE
"LIAO LL, 2015, ANN BEHAV MED, V49, PS107",SPRINGER
"PEREIRA S, 2015, EDUC POLICY, V29, P316, DOI 10.1177/0895904813492378",CORWIN PRESS INC A SAGE PUBLICATIONS CO
"SCHARRER E, 2015, J SOC ISSUES, V71, P171, DOI 10.1111/JOSI.12103",WILEY-BLACKWELL
"TEICHERT L, 2015, J EARLY CHILD LIT, V15, P141, DOI 10.1177/1468798414552429",SAGE PUBLICATIONS LTD
"EGBERT J, 2015, TESOL J, V6, P177, DOI 10.1002/TESJ.182",WILEY
"MOHAMAD E, 2015, J KOMUN, V31, P83",NATL UNIV MALAYSIA
"MOHAMAD E, 2015, J KOMUN, V31, P83", FAC SOCIAL SCIENCES & HUMANITIES
"NAZIROGLU B, 2015, DINBILIMLERI AKAD AR, V15, P191",DINBILIMLERI AKAD ARASTIRMA MERKEZI
"LEVITSKAYA A, 2015, EUR J CONTEMP EDUC, V14, P223, DOI 10.13187/EJCED.2015.14.223",ACAD PUBLISHER HOUSE RESEARCHER
"WANG ZJ, 2015, CHIN LANG DISCOURSE, V6, P104, DOI 10.1075/CLD.6.1.05WAN",JOHN BENJAMINS PUBLISHING CO
"TUCHO F, 2015, REV LAT COMUN SOC, V70, P689, DOI 10.4185/RLCS-2015-1066",LABORATORIO TECNOLOGIAS INFORMACION & NUEVOS ANALISIS COMUNICACION;   SOCIAL
"DORNALETECHE-RUIZ J, 2015, COMUNICAR, P177, DOI 10.3916/C44-2015-19",GRUPO COMUNICAR
"LOPEZ L, 2015, COMUNICAR, P187, DOI 10.3916/C44-2015-20",GRUPO COMUNICAR
"TEWKSBURY D, 2015, TRIPLEC-COMMUN CAPIT, V13, P526",TRIPLEC
"BUITRAGO A, 2015, INDEX COMUN, V5, P101",UNIV REY JUAN CARLOS
"BUITRAGO A, 2015, INDEX COMUN, V5, P101", FAC CIENCIAS COMUNICACION
"RABADAN AV, 2015, J NEW APPROACHES EDU, V4, P32, DOI 10.7821/NAER.2015.1.96",UNIV ALICANTE
"RABADAN AV, 2015, J NEW APPROACHES EDU, V4, P32, DOI 10.7821/NAER.2015.1.96", GRUPO INVESTIGACION EDUTIC-ADEI
"TSE CKW, 2015, JMIR RES PROTOC, V4, DOI 10.2196/RESPROT.3285",JMIR PUBLICATIONS
"TSE CKW, 2015, JMIR RES PROTOC, V4, DOI 10.2196/RESPROT.3285", INC
"CERIGATTO MP, 2015, INFORM SOC-ESTUD, V25, P39",UNIV FEDERAL CAMPINA GRANDE
"VANWYNSBERGHE H, 2015, TIJDSCHR COMMUNWET, V43, P84",UITGEVERIJ BOOM BV
"JOCSON KM, 2015, CURRICULUM INQ, V45, P30, DOI 10.1080/03626784.2014.982490",TAYLOR & FRANCIS LTD
"BAILEY M, 2015, J INVEST MED, V63, P186",LIPPINCOTT WILLIAMS & WILKINS
"MARTENS H, 2015, ATL J COMMUN, V23, P120, DOI 10.1080/15456870.2014.961636",ROUTLEDGE JOURNALS
"MARTENS H, 2015, ATL J COMMUN, V23, P120, DOI 10.1080/15456870.2014.961636", TAYLOR & FRANCIS LTD
"MERCEA D, 2015, COMMUN REV, V18, P189, DOI 10.1080/10714421.2015.1058102",ROUTLEDGE JOURNALS
"MERCEA D, 2015, COMMUN REV, V18, P189, DOI 10.1080/10714421.2015.1058102", TAYLOR & FRANCIS LTD
"SUN C, 2015, COMMUN REV, V18, P294, DOI 10.1080/10714421.2015.1085778",ROUTLEDGE JOURNALS
"SUN C, 2015, COMMUN REV, V18, P294, DOI 10.1080/10714421.2015.1085778", TAYLOR & FRANCIS LTD
"FEDOROV A, 2015, EUR J CONTEMP EDUC, V13, P178, DOI 10.13187/EJCED.2015.13.178",ACAD PUBLISHER HOUSE RESEARCHER
"YOUNG JA, 2015, J TECHNOL HUMAN SERV, V33, P72, DOI 10.1080/15228835.2014.998577",ROUTLEDGE JOURNALS
"YOUNG JA, 2015, J TECHNOL HUMAN SERV, V33, P72, DOI 10.1080/15228835.2014.998577", TAYLOR & FRANCIS LTD
"PEROVIC J, 2015, MEDIA COMMUN, V3, P91, DOI 10.17645/MAC.V3I4.335",COGITATIO PRESS
"CRUZ-DIAZ MR, 2015, MEDIAOBRAZOVANIE, P31",UNESCO
"CRUZ-DIAZ MR, 2015, MEDIAOBRAZOVANIE, P31", MOSCOW OFFICE
"BARSUKOV V, 2015, MEDIAOBRAZOVANIE, P167",UNESCO
"BARSUKOV V, 2015, MEDIAOBRAZOVANIE, P167", MOSCOW OFFICE
"DIAZ MDC, 2015, REDES COM, P86, DOI 10.15213/REDES.N12.P86",INST EUROPEO COMUNICACION & DESARROLLO
"GONZALEZ SC, 2015, REDES COM, P194, DOI 10.15213/REDES.N12.P194",INST EUROPEO COMUNICACION & DESARROLLO
"GORDON CS, 2014, DRUG ALCOHOL REV, V33, P29",WILEY-BLACKWELL
"GORDON CS, 2014, DRUG ALCOHOL REV-a, V33, P29",WILEY-BLACKWELL
"DROTNER K, 2014, LEARN MEDIA TECHNOL, V39, P409, DOI 10.1080/17439884.2014.964255",ROUTLEDGE JOURNALS
"DROTNER K, 2014, LEARN MEDIA TECHNOL, V39, P409, DOI 10.1080/17439884.2014.964255", TAYLOR & FRANCIS LTD
"LIVINGSTONE S, 2014, COMMUNICATIONS-GER, V39, P283, DOI 10.1515/COMMUN-2014-0113",DE GRUYTER MOUTON
"ZHANG H, 2014, ASIA PAC EDUC REV, V15, P459, DOI 10.1007/S12564-014-9321-1",SPRINGER
"WALTHER B, 2014, CYBERPSYCH BEH SOC N, V17, P616, DOI 10.1089/CYBER.2014.0173",MARY ANN LIEBERT
"WALTHER B, 2014, CYBERPSYCH BEH SOC N, V17, P616, DOI 10.1089/CYBER.2014.0173", INC
"GARCIA-RUIZ R, 2014, COMUNICAR, P15, DOI 10.3916/C43-2014-01",GRUPO COMUNICAR
"LENTZ B, 2014, CRIT STUD MEDIA COMM, V31, P134, DOI 10.1080/15295036.2014.921318",ROUTLEDGE JOURNALS
"LENTZ B, 2014, CRIT STUD MEDIA COMM, V31, P134, DOI 10.1080/15295036.2014.921318", TAYLOR & FRANCIS LTD
"FINGAR KR, 2014, INJURY PREV, V20, P183, DOI 10.1136/INJURYPREV-2013-040815",BMJ PUBLISHING GROUP
"TIMMS L, 2014, INT J SPEECH-LANG PA, V16, P327, DOI 10.3109/17549507.2013.872296",INFORMA HEALTHCARE
"MARTINEZ-CERDA JF, 2014, PROF INFORM, V23, P288, DOI 10.3145/EPI.2014.MAY.09",EPI
"LATHAM D, 2014, CHILD LIT EDUC, V45, P33, DOI 10.1007/S10583-013-9200-0",SPRINGER
"PRIMACK BA, 2014, J SCHOOL HEALTH, V84, P106, DOI 10.1111/JOSH.12130",WILEY-BLACKWELL
"PRIETO JD, 2014, HIST COMUN SOC, V19, P451, DOI 10.5209/REV_HICS.2014.V19.45041",UNIV COMPLUTENSE MADRID
"PRIETO JD, 2014, HIST COMUN SOC, V19, P451, DOI 10.5209/REV_HICS.2014.V19.45041", SERVICIO PUBLICACIONES
"YEKATERINA LK, 2014, NOV LIT OBOZR, P403",NOVOE LITERATURNOE OBOZRENIE-NEW LITERARY OBSERVER
"WIAZOWSKI J, 2014, ASSIST TECHNOL, V26, P227, DOI 10.1080/10400435.2014.928389",R E S N A PRESS
"VIDAUSKYTE L, 2014, LOGOS-VILNIUS, P77",LOGOS
"SUR E, 2014, COMUNICAR, P119, DOI 10.3916/C42-2014-11",GRUPO COMUNICAR
"LEE AYL, 2014, COMUNICAR, P137, DOI 10.3916/C42-2014-13",GRUPO COMUNICAR
"ABAD ALCALA L, 2014, COMUNICAR, P173, DOI 10.3916/C42-2014-17",GRUPO COMUNICAR
"JANNETH SANTOS MARTINEZ C, 2013, HIST COMUN SOC, V18, P781, DOI 10.5209/REV_HICS.2013.V18.44365",UNIV COMPLUTENSE MADRID
"JANNETH SANTOS MARTINEZ C, 2013, HIST COMUN SOC, V18, P781, DOI 10.5209/REV_HICS.2013.V18.44365", SERVICIO PUBLICACIONES
"CAKMAK E, 2013, ANTHROPOLOGIST, V16, P531",KAMLA-RAJ ENTERPRISES
"MIHAILIDIS P, 2013, AM BEHAV SCI, V57, P1611, DOI 10.1177/0002764213489015",SAGE PUBLICATIONS INC
"NEYS J, 2013, NEW MEDIA SOC, V15, P1199, DOI 10.1177/1461444813496212B",SAGE PUBLICATIONS LTD
"KAESTLE C, 2013, DRUG ALCOHOL REV, V32, P44",WILEY-BLACKWELL
"WALLIS R, 2013, EUR J COMMUN, V28, P527, DOI 10.1177/0267323113483605",SAGE PUBLICATIONS LTD
"LIN TB, 2013, EDUC TECHNOL SOC, V16, P160",IEEE COMPUTER SOC
"LIN TB, 2013, EDUC TECHNOL SOC, V16, P160", LEARNING  TECHNOLOGY TASK FORCE
"VRABEC N, 2013, EUR J SCI THEOL, V9, P211",ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV
"CLARK LS, 2013, JOURNALISM, V14, P885, DOI 10.1177/1464884913478361",SAGE PUBLICATIONS INC
"ANTON CUADRADO R, 2013, HIST COMUN SOC, V18, P231, DOI 10.5209/REV_HICS.2013.V18.43963",UNIV COMPLUTENSE MADRID
"ANTON CUADRADO R, 2013, HIST COMUN SOC, V18, P231, DOI 10.5209/REV_HICS.2013.V18.43963", SERVICIO PUBLICACIONES
"GOLOS DB, 2013, AM ANN DEAF, V158, P411, DOI 10.1353/AAD.2013.0039",GALLAUDET UNIV PRESS
"TUZEL S, 2013, KURAM UYGUL EGIT BIL, V13, P2310",EDAM
"RUTTEN K, 2013, CLCWEB-COMP LIT CULT, V15, DOI 10.7771/1481-4374.2238",PURDUE UNIV PRESS
"CASEY G, 2013, J ADOLESC ADULT LIT, V57, P60, DOI 10.1002/JAAL.216",WILEY-BLACKWELL
"KAESTLE CE, 2013, AM J HEALTH PROMOT, V27, P366, DOI 10.4278/AJHP.120221-ARB-105",AMER JOURNAL HEALTH PROMOTION INC
"BAZALGETTE C, 2013, LITERACY, V47, P95, DOI 10.1111/J.1741-4369.2012.00666.X",WILEY-BLACKWELL
"MCLEAN SA, 2013, BODY IMAGE, V10, P282, DOI 10.1016/J.BODYIM.2013.01.009",ELSEVIER SCIENCE BV
"ERSTAD O, 2013, JAVNOST-PUBLIC, V20, P83, DOI 10.1080/13183222.2013.11009115",EUROPEAN INST COMMUNICATION CULTURE
"CHEN YC, 2013, J HEALTH COMMUN, V18, P723, DOI 10.1080/10810730.2012.757387",TAYLOR & FRANCIS INC
"LIM SS, 2013, LEARN MEDIA TECHNOL, V38, P145, DOI 10.1080/17439884.2013.756515",ROUTLEDGE JOURNALS
"LIM SS, 2013, LEARN MEDIA TECHNOL, V38, P145, DOI 10.1080/17439884.2013.756515", TAYLOR & FRANCIS LTD
"HOBBS R, 2013, LEARN MEDIA TECHNOL, V38, P182, DOI 10.1080/17439884.2013.756517",ROUTLEDGE JOURNALS
"HOBBS R, 2013, LEARN MEDIA TECHNOL, V38, P182, DOI 10.1080/17439884.2013.756517", TAYLOR & FRANCIS LTD
"PARKER JK, 2013, J ADOLESC ADULT LIT, V56, P668, DOI 10.1002/JAAL.194",WILEY-BLACKWELL
"YOUNG C, 2013, READ TEACH, V66, P670, DOI 10.1002/TRTR.1175",WILEY-BLACKWELL
"ALVAREZ C, 2013, COMPUT EDUC, V63, P368, DOI 10.1016/J.COMPEDU.2012.12.019",PERGAMON-ELSEVIER SCIENCE LTD
"DEL-MORAL-PEREZ ME, 2013, COMUNICAR, P173, DOI 10.3916/C40-2013-03-08",GRUPO COMUNICAR
"MERCHANT G, 2013, LANG EDUC-UK, V27, P144, DOI 10.1080/09500782.2012.760586",ROUTLEDGE JOURNALS
"MERCHANT G, 2013, LANG EDUC-UK, V27, P144, DOI 10.1080/09500782.2012.760586", TAYLOR & FRANCIS LTD
"MACNAMARA J, 2013, CONTINUUM-J MEDIA CU, V27, P160, DOI 10.1080/10304312.2013.736950",ROUTLEDGE JOURNALS
"MACNAMARA J, 2013, CONTINUUM-J MEDIA CU, V27, P160, DOI 10.1080/10304312.2013.736950", TAYLOR & FRANCIS LTD
"THORNE-WALLINGTON E, 2013, INFORM TECHNOL LIBR, V32, P53, DOI 10.6017/ITAL.V32I4.2309",AMER LIBRARY ASSOC
"ROBERTS-SMITH J, 2013, CAN THEATRE REV, V156, P40, DOI 10.3138/CTR.156.008",UNIV TORONTO PRESS INC
"KOPPE H, 2013, PRAX KINDERPSYCHOL K, V62, P534",VANDENHOECK & RUPRECHT
"LEE J, 2013, RECALL, V25, P159, DOI 10.1017/S0958344012000298",CAMBRIDGE UNIV PRESS
"CORDERO E, 2012, B AM METEOROL SOC, V93, P1813, DOI 10.1175/BAMS-93-12-1813",AMER METEOROLOGICAL SOC
"LAM WSE, 2012, PHI DELTA KAPPAN, V94, P62, DOI 10.1177/003172171209400416",PHI DELTA KAPPA
"MORRELL E, 2012, READ TEACH, V66, P300, DOI 10.1002/TRTR.01125",WILEY-BLACKWELL
"WILSON C, 2012, COMUNICAR, P15, DOI 10.3916/C39-2012-02-01",GRUPO COMUNICAR
"SALEH I, 2012, COMUNICAR, P35, DOI 10.3916/C39-2012-02-03",GRUPO COMUNICAR
"MOELLER S, 2012, COMUNICAR, P45, DOI 10.3916/C39-2012-02-04",GRUPO COMUNICAR
"CULVER SH, 2012, COMUNICAR, P73, DOI 10.3916/C39-2012-02-07",GRUPO COMUNICAR
"REIA-BAPTISTA V, 2012, COMUNICAR, P81, DOI 10.3916/C39-2012-02-08",GRUPO COMUNICAR
"PEREIRA S, 2012, COMUNICAR, P91, DOI 10.3916/C39-2012-02-09",GRUPO COMUNICAR
"MORA J, 2012, COMUNICAR, P139, DOI 10.3916/C39-2012-03-04",GRUPO COMUNICAR
"VRAGA EK, 2012, JOURNALISM, V13, P942, DOI 10.1177/1464884912455906",SAGE PUBLICATIONS INC
"SZABO K, 2012, INT J BEHAV MED, V19, PS151",SPRINGER
"BRICKMAN P, 2012, AM BIOL TEACH, V74, P374, DOI 10.1525/ABT.2012.74.6.4",NATL ASSOC BIOLOGY TEACHERS INC
"RUNDGREN CJ, 2012, PUBLIC UNDERST SCI, V21, P759, DOI 10.1177/0963662510377562",SAGE PUBLICATIONS LTD
"JEONG SH, 2012, J COMMUN, V62, DOI 10.1111/J.1460-2466.2012.01643.X",WILEY
"SALGADO MV, 2012, NICOTINE TOB RES, V14, P516, DOI 10.1093/NTR/NTR240",OXFORD UNIV PRESS
"KESTEN A, 2012, ENER EDUC SCI TECH-B, V4, P1131",SILA SCIENCE
"GREENE K, 2012, ANN BEHAV MED, V43, PS57",SPRINGER
"MARTIN AG, 2012, COMUNICAR, P10, DOI 10.3916/C38-2012-02-00",GRUPO COMUNICAR
"SOEP E, 2012, COMUNICAR, P93, DOI 10.3916/C38-2012-02-10",GRUPO COMUNICAR
"DEL VALLE C, 2012, COMUNICAR, P183, DOI 10.3916/C38-2012-03-10",GRUPO COMUNICAR
"GOMEZ JIA, 2012, COMUNICAR, P7, DOI 10.3916/C38-2012-01-01",GRUPO COMUNICAR
"KENDALL A, 2012, COMUNICAR, P21, DOI 10.3916/C38-2012-02-02",GRUPO COMUNICAR
"MARTIN AG, 2012, COMUNICAR-a, P31, DOI 10.3916/C38-2012-02-03",GRUPO COMUNICAR
"PENUEL WR, 2012, EARLY CHILD RES Q, V27, P115, DOI 10.1016/J.ECRESQ.2011.07.002",ELSEVIER SCIENCE INC
"PARK S, 2012, MEDIA INT AUST, P87, DOI 10.1177/1329878X1214200111",UNIV QUEENSLAND PRESS
"AUSTIN EW, 2012, J AM COLL HEALTH, V60, P548, DOI 10.1080/07448481.2012.726302",ROUTLEDGE JOURNALS
"AUSTIN EW, 2012, J AM COLL HEALTH, V60, P548, DOI 10.1080/07448481.2012.726302", TAYLOR & FRANCIS LTD
"BONNSTETTER BE, 2012, J POP FILM TV, V40, P94, DOI 10.1080/01956051.2011.636395",ROUTLEDGE JOURNALS
"BONNSTETTER BE, 2012, J POP FILM TV, V40, P94, DOI 10.1080/01956051.2011.636395", TAYLOR & FRANCIS LTD
"PINKLETON BE, 2012, J HEALTH COMMUN, V17, P460, DOI 10.1080/10810730.2011.635770",TAYLOR & FRANCIS INC
"MUNK C, 2012, Z ENTWICKL PADAGOGIS, V44, P81, DOI 10.1026/0049-8637/A000063",HOGREFE & HUBER PUBLISHERS
"WATERHOUSE M, 2012, DISCOURSE-ABINGDON, V33, P129, DOI 10.1080/01596306.2012.632173",ROUTLEDGE JOURNALS
"WATERHOUSE M, 2012, DISCOURSE-ABINGDON, V33, P129, DOI 10.1080/01596306.2012.632173", TAYLOR & FRANCIS LTD
"GEIMER A, 2012, Z SOZIOL ERZIEH SOZI, V32, P4",JUVENTA VERLAG GMBH
"KAHNE J, 2012, INT J COMMUN-US, V6, P1",USC ANNENBERG PRESS
"PAGE RM, 2011, HEALTH EDUC J, V70, P446, DOI 10.1177/0017896910379692",SAGE PUBLICATIONS LTD
"JURKOWSKI ET, 2011, GERONTOLOGIST, V51, P79",OXFORD UNIV PRESS INC
"CHANG CS, 2011, ASIA-PAC EDUC RES, V20, P604",DE LA SALLE UNIV-MANILA
"STEWART B, 2011, BRIT J EDUC TECHNOL, V42, PE167, DOI 10.1111/J.1467-8535.2011.01247.X",WILEY-BLACKWELL
"DOMINE V, 2011, LIBR TRENDS, V60, P440, DOI 10.1353/LIB.2011.0038",JOHNS HOPKINS UNIV PRESS
"HUIJSER H, 2011, MEDIA INT AUST, P181",UNIV QUEENSLAND PRESS
"WINDLE J, 2011, AUST EDUC RES, V38, P311, DOI 10.1007/S13384-011-0030-Z",SPRINGER
"BURNETT C, 2011, ENGL TEACH-PRACT CRI, V10, P41",UNIV WAIKATO
"FISHER H, 2011, AUST LIBR J, V60, P176, DOI 10.1080/00049670.2011.10722599",AUSTRALIAN LIBRARY & INFORMATION ASSOC LTD
"TURNER KCN, 2011, J ADOLESC ADULT LIT, V54, P613, DOI 10.1598/JAAL.54.8.6",INT READING ASSOC
"HALLIWELL E, 2011, BRIT J HEALTH PSYCH, V16, P396, DOI 10.1348/135910710X515714",WILEY
"PEREZ-STABLE EJ, 2011, J GEN INTERN MED, V26, PS246",SPRINGER
"YAMADA-RICE D, 2011, LITERACY, V45, P32, DOI 10.1111/J.1741-4369.2011.00578.X",WILEY-BLACKWELL
"CHANG CS, 2011, TURK ONLINE J EDUC T, V10, P63",TURKISH ONLINE JOURNAL EDUCATIONAL TECH-TOJET
"LEVIN-ZAMIR D, 2011, HEALTH EDUC RES, V26, P323, DOI 10.1093/HER/CYR007",OXFORD UNIV PRESS
"DE LA PISCINA TR, 2011, COMUNICAR, P157, DOI 10.3916/C36-2011-03-07",GRUPO COMUNICAR
"KOLTAY T, 2011, MEDIA CULT SOC, V33, P211, DOI 10.1177/0163443710393382",SAGE PUBLICATIONS LTD
"COOPER CB, 2011, BIOSCIENCE, V61, P231, DOI 10.1525/BIO.2011.61.3.8",OXFORD UNIV PRESS
"HAUSER SL, 2011, ANN NEUROL, V69, PA9, DOI 10.1002/ANA.22410",WILEY
"PAEK HJ, 2011, HEALTH EDUC RES, V26, P131, DOI 10.1093/HER/CYQ082",OXFORD UNIV PRESS
"AMORY A, 2011, EDUC CHANGE, V15, PS111, DOI 10.1080/16823206.2011.643634",TAYLOR & FRANCIS LTD
"BOYD MJ, 2011, ADV CHILD DEV BEHAV, V41, P251",ELSEVIER ACADEMIC PRESS INC
